result_id,project_idx,feature_code,feature_name,title,summary,full_content,key_points,vector_similarity,chunks_from_announcement,chunks_from_attachments,referenced_attachments,extracted_at
1,23,project_name,사업명,사업명,디지털기반 중소제조 산재예방 기술개발지원사업,2025년 디지털기반 중소제조 산재예방 기술개발지원사업 시행계획 공고,디지털기반 중소제조|산재예방 기술개발지원사업,0.48224923445601653,7,0,,2025-11-13T16:51:54.754775
2,23,announcing_agency,공고기관,문의처 2점 (part 1),"중소벤처기업부가 주관기관으로 명시되어 있으며, 연구개발 관련 문의를 담당하고 있습니다.","성과창출 * 중소기업R&D우수성과 50선에 선정 되었으나, 재포상 발급한 중소기업 R&D 우수 강화 금지기간에 해당하여 장관 포상을 받지 않은 기업 포함 성과 50선 선정기업 확인서 최근 3년 이내에 중소벤처기업부 장관으로부터 포상을 받은 연구책임자가 신청한 과제 최근 3년 이내 중소벤처기업부의 중소기업 연구개발 담당기관(부서) 문의사항 연락처(이메일) 과제 완료에 따른 경상기술료를 조기 완납한 기업이 신청한 과제 1점 조기완납기업 확인서 등 중소벤처기업부 * 조기완납 기준: 기술료 납부 1~3차년도 납부기한까지 사업총괄 시행계획 공고 (기술혁신정책과) 기술료 상한금액을 완납한 경우 중소기업 통합콜센터 ** 단, 기술료 상한금액이 2천만원 이상인 경우 적용 중소기업기술정보진흥원 신청‧접수, 연구개발계획서 작성, (국번없이) 1357 ｢여성기업법｣ 제2조에 따른 전문기관 주관연구개발기관이 여성기업에 해당하는 경우 1점 (창업성장사업실) 선정평가, 유의사항 등 여성기업확인서 ｢장애인기업활동 촉진법｣ 제2조 범부처통합연구지원시스템(IRIS)을 통한 IRIS 콜센터 주관연구개발기관이 장애인기업에 해당하는 경우 1점 제2호의 각 목을 모두 만족하는 시스템 IRIS 운영단 신청‧접수, 국가연구자번호 발급 등 시스템 관련 문의 (국번없이) 1877-2041 기술개발 수행 사업장 주소 확인이 중소기업 특별지원지역 소재 기업 1점 가능한 서류 생태계 (사업자등록증, 법인등기부등본 등) 보완 ☞ 관련 웹사이트 산업위기대응 특별지역 소재 위기업종 관련 기업 ◦ 중소벤처기업부 홈페이지: http://www.mss.go.kr * 「지역 산업위기 대응 및 지역경제 회복을 위한 기술개발 수행 사업장 주소 확인이 특별법」 제9조 및 「지역 산업위기 대응 제도의 1점 가능한 서류",주관기관: 중소벤처기업부|연구개발 관련 문의 담당,0.5600312594865172,7,0,,2025-11-13T16:52:05.734176
3,23,announcement_date,공고일,신청과제의 보안등급 자체점검 결과 및 보안과제 (part 1),"공고일은 2025년 7월 23일로, 신청서 접수는 8월 8일부터 8월 22일까지 진행됩니다.","정부지원 기관부담연구개발비 구분 총 연구개발비 불가하오니, 세부과제별 신청 서류를 반드시 확인하여 주시기 바랍니다. 연구개발비 현금 현물 소계 1차년도 금액 82.5 3 24.5 27.5 110 세부사업 공고 신청‧접수 선정평가 협약체결 (‘25.10.1~’25.12.31) (비율) (75%) (2.4%) (22.3%) (25%) (100%) 디지털기반 중소제조 산재예방 R&D 7월 23일 8월 8일 ~ 8월 22일 9월 10월 2차년도 금액 330 11 99 110 440 (‘26.1.1~’26.12.31) (비율) (75%) (2.5%) (22.5%) (25%) (100%)",공고일: 2025년 7월 23일|신청서 접수 기간: 8월 8일 ~ 8월 22일,0.7251180753220674,7,0,,2025-11-13T16:52:13.319011
4,23,application_period,접수기간,신청기간 및 신청방법 (part 1),연구개발계획서 신청·접수기간은 2025년 8월 8일(금)부터 8월 22일(금) 18:00까지입니다.,"□ 연구개발계획서 신청·접수기간 ◦ 신청‧접수기간 : 2025년 8월 8일(금) ～ 8월 22일(금), 18:00까지",신청기간: 2025년 8월 8일(금) ~ 8월 22일(금)|접수 마감 시간: 18:00,0.5248805232233915,7,0,,2025-11-13T16:52:18.934468
5,23,project_period,사업기간,연구개발기간 및 연구개발비,"사업은 2025년 10월 1일부터 2027년 9월 30일까지 총 3년 동안 진행되며, 1차년도는 2025년 10월 1일부터 2025년 12월 31일까지, 2차년도는 2026년 1월 1일부터 2026년 12월 31일까지, 3차년도는 2027년 1월 1일부터 2027년 9월 30일까지로 설정됨.","□ (주관연구개발기관) ｢중소기업기본법｣ 제2조(중소기업자의 범위)에서 동 사업은 일괄협약에 따라 반드시 총 연구개발기간에 대한 기술개발 목표, 개발방법, 내용 등을 연구개발계획서에 작성 정한 중소기업 ** 1차년도는 과제 개발 시작일(2025.10.1.)로부터 2025.12.31.까지로 설정 구 분 1차년도 2차년도 3차년도 ‘25.10.1.~’25.12.31. ‘26.1.1.~’26.12.31. ‘27.1.1.~’27.9.30. 정한 중소기업으로, 아래에 모두 해당하는 기업 개발기간 (3개월) (12개월) (9개월) ① 상시근로자 50인 미만 기업 ◦ 선정평가 결과, 정부 예산 상황 등에 따라 연구개발비 지원규모 및 개발기간 조정 가능 ② 공장등록증명서를 보유한 제조기업 * 연구개발비 및 개발기간의 조정은 협약 시 주관연구개발기관 별도 안내",사업기간: 2025년 10월 1일 ~ 2027년 9월 30일|1차년도: 2025년 10월 1일 ~ 2025년 12월 31일|2차년도: 2026년 1월 1일 ~ 2026년 12월 31일|3차년도: 2027년 1월 1일 ~ 2027년 9월 30일,0.6015634442999619,7,0,,2025-11-13T16:52:34.776066
6,23,target,지원대상,지원대상,상시근로자 50인 미만 제조업 중소기업이 지원 대상입니다. 이들은 디지털 기반 산재예방 R&D 지원을 통해 산업재해 감소 및 예방체계를 확립하는 목표를 가지고 있습니다.,동 사업은 상시근로자 50인 미만 제조업 중소기업에 대한 디지털 기반 산재예방 R&D 지원을 통해 산업재해 감소 및 예방체계 확립을 목표로 운영하고 있습니다.,상시근로자 50인 미만 제조업 중소기업|디지털 기반 산재예방 R&D 지원,0.6091490523023448,7,0,,2025-11-13T16:52:39.449113
7,23,eligibility,참여자격,신청자격 등,"주관연구개발기관은 중소기업기본법에 따라 상시근로자 50인 미만의 제조기업이어야 하며, 공동연구개발기관은 최소 2개 이상으로 구성해야 한다.","아래의 연구개발기간 및 연구개발비를 반영하여 신청 □ (주관연구개발기관) ｢중소기업기본법｣ 제2조(중소기업자의 범위)에서 동 사업은 일괄협약에 따라 반드시 총 연구개발기간에 대한 기술개발 목표, 개발방법, 내용 등을 연구개발계획서에 작성 정한 중소기업 ** 1차년도는 과제 개발 시작일(2025.10.1.)로부터 2025.12.31.까지로 설정 □ (공동연구개발기관) ｢중소기업기본법｣ 제2조(중소기업자의 범위)에서 정한 중소기업으로, 아래에 모두 해당하는 기업 개발기간 (3개월) (12개월) (9개월) ① 상시근로자 50인 미만 기업 ◦ 선정평가 결과, 정부 예산 상황 등에 따라 연구개발비 지원규모 및 개발기간 조정 가능 ② 공장등록증명서를 보유한 제조기업 * 연구개발비 및 개발기간의 조정은 협약 시 주관연구개발기관 별도 안내 □ (위탁연구개발기관) 협약으로 정하는 바에 따라 주관연구개발기관 ◦ 일괄협약에 따라 과제 신청 시 반드시 총 개발기간으로 신청 으로부터 기술개발사업 과제의 일부를 위탁받아 수행하는 기관(기업, 대학, 연구소 등) □ (필수적 성과목표) 2개 지표 중 1개 지표 이상 필수 반영 필요 □ (컨소시엄 구성) 주관연구개발기관(공급기업)과 최소 2개 이상의 전체 성능지표 중 특화 성능지표 차지 비중 공동연구개발기관(도입기업)으로 필수 구성",주관연구개발기관은 상시근로자 50인 미만의 제조기업이어야 함|공동연구개발기관은 최소 2개 이상으로 구성해야 함,0.5495252559869992,7,0,,2025-11-13T16:53:06.379514
8,23,restrictions,참여제한,신청제한 및 지원 제외사항,"신청·지원 제외 세부사항은 별첨2 참고. 연구개발기관이 중소기업인 경우 신규 채용하는 참여연구자에 대해 인건비를 현금으로 계상 가능하나, 해약 및 참여제한 등 제재조치 대상이 됨.","□ (신청제한 및 지원 제외사항) 신청·지원제외 세부사항은 <별첨2> 참고. □ (신규채용 인건비) 연구개발기관이 중소기업인 경우 신규로 채용하는 참여연구자에 대해 인건비를 현금으로 계상 가능하나, 해약은 물론 참여제한 등 제재조치 대상이 됨.","신청·지원 제외 세부사항은 별첨2 참고|신규 채용 연구자 인건비 현금 계상 가능, 해약 및 참여제한 대상",0.5697664787713688,7,0,,2025-11-13T16:53:12.118221
9,23,support_scale,지원규모,지원규모,"총 지원 규모는 최대 6.6억원 이내이며, 정부지원연구개발비는 총 연구개발비의 75% 이내로 지원됩니다.","최대 2년, 6.6억원 이내의 지원이 이루어지며, 정부지원연구개발비는 총 연구개발비의 75% 이내로 지원됩니다. 총 연구개발비는 정부지원연구개발비와 기관부담연구개발비의 합으로 구성됩니다.",최대 지원 규모: 6.6억원|정부지원연구개발비 비율: 총 연구개발비의 75% 이내,0.5545271783312928,7,0,,2025-11-13T16:53:18.199808
10,23,support_period,지원기간,연구개발기간 및 연구개발비,"1차년도는 2025년 10월 1일부터 2025년 12월 31일까지, 2차년도는 2026년 1월 1일부터 2026년 12월 31일까지, 3차년도는 2027년 1월 1일부터 2027년 9월 30일까지로 설정되어 있습니다.","□ (주관연구개발기관) ｢중소기업기본법｣ 제2조(중소기업자의 범위)에서 동 사업은 일괄협약에 따라 반드시 총 연구개발기간에 대한 기술개발 목표, 개발방법, 내용 등을 연구개발계획서에 작성 정한 중소기업 1차년도는 과제 개발 시작일(2025.10.1.)로부터 2025.12.31.까지로 설정 2차년도는 2026년 1월 1일부터 2026년 12월 31일까지, 3차년도는 2027년 1월 1일부터 2027년 9월 30일까지로 설정되어 있습니다.",1차년도: 2025.10.1 ~ 2025.12.31|2차년도: 2026.1.1 ~ 2026.12.31|3차년도: 2027.1.1 ~ 2027.9.30,0.4929542421756803,7,0,,2025-11-13T16:53:24.043055
